1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,7,5,5,5,5,5,5,5,5,5,5,7,1,1
1,1,5,0,5,5,6,0,0,6,5,5,5,5,1,1
1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1
1,1,5,0,5,5,5,5,5,5,5,5,5,5,1,1
1,1,5,0,5,5,1,1,1,1,5,5,5,5,1,1
1,1,1,0,1,5,7,1,1,7,5,5,0,5,1,1
1,1,1,0,1,5,7,1,1,7,5,5,0,5,1,1
1,1,5,5,5,5,1,1,1,1,5,5,0,5,1,1
1,1,5,5,5,5,5,5,5,5,5,5,0,5,1,1
1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1
1,1,5,5,5,5,6,0,0,6,5,5,0,5,1,1
1,1,7,5,5,5,5,5,5,5,5,5,5,7,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
